Product_name,Price,Rating,No_of_RnR,No_of_ratings,No_of_reviews,Brand,RAM,ROM,Battery,Display_Size,Camera
"Samsung Galaxy F36 5G (Red, 128 GB)",20999,4.3,"11,002 Ratings & 738 Reviews",11002,738,Samsung,6 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 8MP + 2MP | 13MP Front Camera
"IQOO Z11x 5G (Titan Black, 256 GB)",27849,4.4,692 Ratings & 61 Reviews,692,61,IQOO,8 GB,256 GB ROM,7200 mAh,6.7 inch,50MP Rear Camera
"POCO F7 5G (Phantom Black, 256 GB)",35999,4.4,"22,495 Ratings & 2,224 Reviews",22495,2224,POCO,12 GB,256 GB ROM,7550 mAh,6.83 inch,50MP Rear Camera | 20MP Front Camera
"Samsung M36 5G (Velvet Black / Black, 128 GB)",20490,4.1,753 Ratings & 53 Reviews,753,53,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP Rear Camera
"vivo T5x 5G (Cyber Green, 128 GB)",24999,4.4,"8,730 Ratings & 712 Reviews",8730,712,vivo,8 GB,128 GB ROM,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera
"vivo T4R 5G (Arctic White, 256 GB)",24999,4.4,"49,639 Ratings & 2,797 Reviews",49639,2797,vivo,8 GB,256 GB ROM,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"OPPO Reno15 5G (Twilight Blue, 256 GB)",47999,4.5,649 Ratings & 70 Reviews,649,70,OPPO,8 GB,256 GB ROM,6500 mAh,6.59 inch,
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 512 GB)",37999,4.4,"3,255 Ratings & 260 Reviews",3255,260,MOTOROLA,16 GB,512 GB ROM,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera
"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",21900,4.3,"2,767 Ratings & 128 Reviews",2767,128,IQOO,8 GB,256 GB ROM,6000 mAh,6.74 inch,50MP Rear Camera
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)",55999,4.6,"57,318 Ratings & 3,724 Reviews",57318,3724,Samsung,8 GB,256 GB ROM,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera
"vivo T4 5G (Phantom Grey, 256 GB)",26999,4.4,"79,143 Ratings & 4,374 Reviews",79143,4374,vivo,8 GB,256 GB ROM,7300 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
